grid,drv_pts_to_date,drv_roll_pts_5,drv_roll_pos_5,drv_roll_dnf_5,con_pts_to_date,con_roll_pts_5,round_norm,win,season
12,22.0,7.333333333333333,7.333333333333333,0.3333333333333333,74.0,14.8,0.8,0,2020
6,18.0,6.0,9.666666666666666,0.3333333333333333,40.0,6.4,0.8,0,2020
10,9.0,3.0,12.0,0.3333333333333333,42.0,4.6,0.8,0,2020
2,58.0,19.333333333333332,2.0,0.0,146.0,21.8,0.8,0,2020
20,0.0,0.0,16.333333333333332,0.3333333333333333,0.0,0.0,0.8,0,2020
7,15.0,5.0,7.666666666666667,0.0,51.0,5.0,0.8,0,2020
15,2.0,0.6666666666666666,13.333333333333334,0.0,2.0,0.0,0.8,0,2020
18,0.0,0.0,15.666666666666666,0.0,0.0,0.0,0.8,0,2020
17,0.0,0.0,15.0,0.3333333333333333,1.0,0.2,0.8,0,2020
16,0.0,0.0,13.333333333333334,0.3333333333333333,2.0,0.0,0.8,0,2020
19,1.0,0.3333333333333333,11.333333333333334,0.3333333333333333,13.0,1.4,0.8,0,2020
14,1.0,0.3333333333333333,13.0,0.3333333333333333,1.0,0.2,0.8,0,2020
13,0.0,0.0,0.0,0.0,42.0,6.8,0.8,0,2020
4,52.0,13.0,6.75,0.25,78.0,12.6,1.0,1,2020
2,88.0,22.0,1.75,0.0,146.0,16.8,1.0,0,2020
1,58.0,14.5,4.25,0.0,165.0,17.0,1.0,0,2020
8,33.0,8.25,8.75,0.25,43.0,4.8,1.0,0,2020
9,26.0,6.5,7.5,0.25,103.0,15.2,1.0,0,2020
6,20.0,5.0,9.5,0.25,42.0,5.2,1.0,0,2020
3,0.0,0.0,20.0,1.0,50.0,5.6,1.0,0,2020
14,12.0,3.0,11.5,0.25,32.0,4.8,1.0,0,2020
10,36.0,9.0,6.5,0.0,51.0,3.0,1.0,0,2020
16,1.0,0.25,13.0,0.5,13.0,1.2,1.0,0,2020
7,12.0,3.0,12.25,0.25,14.0,1.4,1.0,0,2020
11,10.0,2.5,11.5,0.25,55.0,7.2,1.0,0,2020
12,15.0,3.75,9.0,0.0,53.0,2.8,1.0,0,2020
5,20.0,5.0,9.75,0.25,36.0,5.6,1.0,0,2020
20,0.0,0.0,14.25,0.25,2.0,0.0,1.0,0,2020
13,0.0,0.0,15.25,0.25,1.0,0.2,1.0,0,2020
19,2.0,0.5,13.5,0.0,2.0,0.0,1.0,0,2020
15,0.0,0.0,15.25,0.25,0.0,0.0,1.0,0,2020
18,0.0,0.0,15.5,0.0,0.0,0.0,1.0,0,2020
17,1.0,0.25,14.5,0.5,1.0,0.2,1.0,0,2020
2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1,2021
1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
3,0.0,0.0,0.0,0.0,25.0,25.0,0.2,0,2021
7,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
0,0.0,0.0,0.0,0.0,18.0,18.0,0.2,0,2021
4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
6,0.0,0.0,0.0,0.0,12.0,12.0,0.2,0,2021
8,0.0,0.0,0.0,0.0,8.0,8.0,0.2,0,2021
13,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
10,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
14,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
12,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
16,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
15,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
20,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0,2021
18,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
5,0.0,0.0,0.0,0.0,2.0,2.0,0.2,0,2021
17,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
9,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
19,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0,2021
3,18.0,18.0,2.0,0.0,28.0,14.0,0.4,1,2021
1,25.0,25.0,1.0,0.0,41.0,20.5,0.4,0,2021
7,12.0,12.0,4.0,0.0,18.0,9.0,0.4,0,2021
4,8.0,8.0,6.0,0.0,12.0,6.0,0.4,0,2021
11,4.0,4.0,8.0,0.0,24.0,8.0,0.4,0,2021
6,6.0,6.0,7.0,0.0,33.0,11.0,0.4,0,2021
5,0.0,0.0,17.0,1.0,2.0,1.0,0.4,0,2021
10,1.0,1.0,10.0,0.0,1.0,0.5,0.4,0,2021
9,0.0,0.0,13.0,0.0,0.0,0.0,0.4,0,2021
15,0.0,0.0,19.0,1.0,2.0,0.6666666666666666,0.4,0,2021
2,10.0,10.0,5.0,0.0,53.0,17.666666666666668,0.4,0,2021
20,2.0,2.0,9.0,0.0,8.0,2.6666666666666665,0.4,0,2021
16,0.0,0.0,11.0,0.0,0.0,0.0,0.4,0,2021
17,0.0,0.0,12.0,0.0,0.0,0.0,0.4,0,2021
0,0.0,0.0,15.0,0.0,5.0,1.6666666666666667,0.4,0,2021
18,0.0,0.0,16.0,0.0,0.0,0.0,0.4,0,2021
19,0.0,0.0,20.0,1.0,0.0,0.0,0.4,0,2021
8,16.0,16.0,3.0,0.0,60.0,20.0,0.4,0,2021
12,0.0,0.0,14.0,0.0,0.0,0.0,0.4,0,2021
14,0.0,0.0,18.0,1.0,0.0,0.0,0.4,0,2021
2,44.0,22.0,1.5,0.0,60.0,15.0,0.6,1,2021
3,43.0,21.5,1.5,0.0,53.0,13.25,0.6,0,2021
1,16.0,8.0,10.5,0.5,85.0,17.0,0.6,0,2021
4,10.0,5.0,8.0,0.0,71.0,14.2,0.6,0,2021
7,27.0,13.5,3.5,0.0,41.0,10.25,0.6,0,2021
8,20.0,10.0,5.0,0.0,34.0,8.5,0.6,0,2021
6,2.0,1.0,11.0,0.0,3.0,0.75,0.6,0,2021
13,1.0,0.5,14.5,0.5,9.0,1.8,0.6,0,2021
16,14.0,7.0,6.5,0.0,51.0,10.2,0.6,0,2021
9,6.0,3.0,12.0,0.5,8.0,2.0,0.6,0,2021
5,14.0,7.0,6.5,0.0,42.0,8.4,0.6,0,2021
12,0.0,0.0,13.0,0.0,0.0,0.0,0.6,0,2021
10,0.0,0.0,15.0,0.5,5.0,1.25,0.6,0,2021
17,5.0,2.5,9.0,0.0,5.0,1.0,0.6,0,2021
14,2.0,1.0,10.5,0.0,9.0,1.8,0.6,0,2021
11,0.0,0.0,16.5,0.5,0.0,0.0,0.6,0,2021
19,0.0,0.0,16.0,0.0,0.0,0.0,0.6,0,2021
18,0.0,0.0,19.0,1.0,0.0,0.0,0.6,0,2021
20,0.0,0.0,18.5,0.5,0.0,0.0,0.6,0,2021
15,0.0,0.0,12.0,0.0,0.0,0.0,0.6,0,2021
1,69.0,23.0,1.3333333333333333,0.0,101.0,15.2,0.8,1,2021
2,61.0,20.333333333333332,1.6666666666666667,0.0,83.0,13.0,0.8,0,2021
3,32.0,10.666666666666666,8.0,0.3333333333333333,126.0,17.0,0.8,0,2021
4,28.0,9.333333333333334,5.333333333333333,0.0,42.0,6.8,0.8,0,2021
8,22.0,7.333333333333333,6.666666666666667,0.0,102.0,14.8,0.8,0,2021
7,16.0,5.333333333333333,7.333333333333333,0.0,53.0,8.2,0.8,0,2021
6,14.0,4.666666666666667,8.0,0.0,54.0,8.4,0.8,0,2021
9,37.0,12.333333333333334,4.0,0.0,61.0,8.6,0.8,0,2021
5,8.0,2.6666666666666665,9.666666666666666,0.0,13.0,2.6,0.8,0,2021
12,7.0,2.3333333333333335,11.333333333333334,0.3333333333333333,9.0,1.4,0.8,0,2021
